yn,n_bodies,gflops,inter
0,512,100.402,5.020
0,512,137.450,6.872
0,512,173.697,8.685
0,512,173.939,8.697
0,512,173.997,8.700
0,512,173.726,8.686
0,512,173.928,8.696
0,512,173.703,8.685
0,512,173.859,8.693
0,512,173.951,8.698
0,1024,422.353,21.118
0,1024,422.489,21.124
0,1024,422.447,21.122
0,1024,422.158,21.108
0,1024,422.081,21.104
0,1024,421.894,21.095
0,1024,422.158,21.108
0,1024,422.353,21.118
0,1024,421.614,21.081
0,1024,422.183,21.109
0,2048,940.691,47.035
0,2048,941.990,47.099
0,2048,941.461,47.073
0,2048,941.704,47.085
0,2048,941.948,47.097
0,2048,940.849,47.042
0,2048,941.176,47.059
0,2048,941.493,47.075
0,2048,940.543,47.027
0,2048,940.828,47.041
0,4096,2007.288,100.364
0,4096,2008.177,100.409
0,4096,2008.634,100.432
0,4096,2007.625,100.381
0,4096,2002.795,100.140
0,4096,2007.685,100.384
0,4096,2007.997,100.400
0,4096,2008.105,100.405
0,4096,2008.814,100.441
0,4096,2006.232,100.312
0,16384,3625.001,181.250
0,16384,3620.300,181.015
0,16384,3613.110,180.655
0,16384,3612.463,180.623
0,16384,3611.464,180.573
0,16384,3602.991,180.150
0,16384,3592.917,179.646
0,16384,3589.664,179.483
0,16384,3587.654,179.383
0,16384,3584.243,179.212
0,65536,3944.742,197.237
0,65536,3874.480,193.724
0,65536,3857.460,192.873
0,65536,3850.585,192.529
0,65536,3851.201,192.560
0,65536,3851.994,192.600
0,65536,3851.099,192.555
0,65536,3850.176,192.509
0,65536,3851.607,192.580
0,65536,3850.171,192.509
1,512,99.733,4.987
1,512,181.076,9.054
1,512,181.201,9.060
1,512,181.956,9.098
1,512,181.767,9.088
1,512,182.025,9.101
1,512,181.760,9.088
1,512,182.013,9.101
1,512,181.975,9.099
1,512,181.981,9.099
1,1024,442.932,22.147
1,1024,444.340,22.217
1,1024,444.594,22.230
1,1024,444.067,22.203
1,1024,444.434,22.222
1,1024,444.481,22.224
1,1024,444.302,22.215
1,1024,443.832,22.192
1,1024,443.889,22.194
1,1024,444.293,22.215
1,2048,992.324,49.616
1,2048,998.561,49.928
1,2048,998.537,49.927
1,2048,998.073,49.904
1,2048,997.267,49.863
1,2048,997.670,49.883
1,2048,998.050,49.902
1,2048,998.418,49.921
1,2048,998.454,49.923
1,2048,998.715,49.936
1,4096,2144.177,107.209
1,4096,2143.054,107.153
1,4096,2143.807,107.190
1,4096,2144.642,107.232
1,4096,2145.068,107.253
1,4096,2143.683,107.184
1,4096,2143.724,107.186
1,4096,2144.615,107.231
1,4096,2132.159,106.608
1,4096,2145.616,107.281
1,16384,3750.212,187.511
1,16384,3745.706,187.285
1,16384,3734.902,186.745
1,16384,3727.307,186.365
1,16384,3727.067,186.353
1,16384,3718.288,185.914
1,16384,3716.635,185.832
1,16384,3713.982,185.699
1,16384,3709.737,185.487
1,16384,3704.060,185.203
1,65536,4098.391,204.920
1,65536,4035.373,201.769
1,65536,3988.527,199.426
1,65536,3956.587,197.829
1,65536,3941.732,197.087
1,65536,3931.369,196.568
1,65536,3924.908,196.245
1,65536,3921.955,196.098
1,65536,3918.943,195.947
1,65536,3917.428,195.871